ID,Type,RA,DECL,ID_OGLE_II,ID_OGLE_III,ID_OGLE_IV,ID_OTHER,I,V,V_I,P,dP,T0,A,Ecc,Incl,Peri,Var,Model,S,C,Remarks
OGLE-LMC-HB-0372,RG,5.663433,-70.406278,LMC_SC17_203768,LMC177.3.55,LMC552.25.7715,-99.99,15.79,17.493,1.703,338.784,0.069,9093.3,0.057,0.1763,62,137.8,-99.99,1,0.0141,0.00218,
OGLE-LMC-HB-0373,RG,5.665739,-70.802194,LMC_SC18_3066,LMC178.5.24280,LMC552.16.64,-99.99,15.928,17.396,1.468,295.03,0.12,9034.2,0.026,0.251,58.3,25.3,-99.99,1,0.00559,0.00031,
OGLE-LMC-HB-0374,RG,5.667514,-70.333333,LMC_SC17_211289,LMC177.3.50440,LMC552.25.18058,EROS2-star lm003-7l-10520,15.269,16.955,1.686,326.955,0.079,9180.2,0.044,0.2423,60.8,134.5,-99.99,1,0.00908,0.00116,
OGLE-LMC-HB-0375,RG,5.668422,-70.47225,LMC_SC17_200422,LMC177.2.45057,LMC552.25.43,-99.99,15.542,17.228,1.686,360.685,0.067,9108.8,0.058,0.1364,62.5,61.8,-99.99,1,0.0159,0.0011,
OGLE-LMC-HB-0376,RG,5.670489,-71.2975,-99.99,LMC178.8.20995,LMC515.09.5999,-99.99,15.264,16.673,1.409,588.07,0.26,9102.8,0.049,0.588,60.2,52.4,-99.99,1,0.0018,0.00013,
OGLE-LMC-HB-0377,RG,5.671417,-68.402667,-99.99,LMC174.4.20043,LMC554.06.18905,OGLE-LMC-ECL-22065,16.013,17.405,1.392,508.81,0.13,9294.2,0.058,0.4752,65.1,97.8,-99.99,1,0.00403,0.0002,
OGLE-LMC-HB-0378,RG,5.685142,-70.880556,-99.99,LMC178.3.31368,LMC552.07.56476,OGLE-LMC-ECL-22398,15.825,17.219,1.394,309.218,0.071,9254.8,0.062,0.4299,87.2,86.9,-99.99,1,0.00433,0.00029,
OGLE-LMC-HB-0379,RG,5.685836,-70.95025,-99.99,LMC178.3.48,LMC515.17.43858,-99.99,15.524,17.179,1.655,356.28,0.17,9059.2,0.025,0.332,42.4,22.1,-99.99,1,0.00586,-0.00246,
OGLE-LMC-HB-0380,RG,5.690472,-70.542028,LMC_SC18_124968,LMC177.2.22501,LMC552.15.56026,-99.99,15.733,17.398,1.665,460.6,0.19,9196.5,0.037,0.301,65.4,142.1,-99.99,1,0.00567,0.00106,
OGLE-LMC-HB-0381,RG,5.694372,-68.539611,-99.99,LMC182.6.112,LMC554.06.18700,-99.99,15.887,17.364,1.477,284.2,0.16,9198.6,0.024,0.277,57.1,177.4,-99.99,1,0.00524,0.00012,
